indicativo,altitud,tmed,hrMedia_mean,latitud_dd,longitud_dd,cluster
1154H,110,15.001037588097104,77.3404463586531,43.35861111111111,-4.0275,0
1159,38,14.747094621122889,81.71947389085199,43.39333333333333,-4.392222222222222,0
1167B,1100,11.343210659898476,71.8669627749577,43.14388888888889,-4.812777777777778,0
1167G,1910,6.320951913640824,75.7630029440628,43.155,-4.803055555555555,0
1167J,1722,6.6609793814432985,73.74742268041237,43.08916666666667,-4.773888888888889,0
1174I,250,13.988403944485025,71.70124178232287,43.18277777777777,-4.601666666666667,1
1176A,940,11.68754894283477,73.75127785016753,43.255833333333335,-4.668333333333334,0
1178R,1236,9.339004077297494,76.14075415751566,43.2375,-4.736666666666666,0
1178Y,953,10.348083623693379,78.63787954206073,43.14527777777778,-4.931666666666667,0
1179B,458,13.851536595228467,79.58269308532147,43.31111111111111,-4.852777777777778,0
1183X,10,15.26064367816092,73.06114942528735,43.42027777777778,-4.748055555555555,0
1186P,370,14.33469591226321,78.1345962113659,43.266666666666666,-5.119166666666667,0
1199X,280,13.778706697459585,81.57482678983834,43.37777777777778,-5.396666666666667,0
1203D,30,14.44611570247934,84.64848484848486,43.49222222222223,-5.247222222222223,0
1207U,26,14.473340647284695,78.47284695556775,43.52305555555555,-5.621111111111111,0
1208H,5,15.74317607413648,76.5155855096883,43.55972222222222,-5.700833333333334,0
1210X,100,14.787844489615342,80.85589155705271,43.65583333333333,-5.848611111111111,0
1212E,127,14.177859507171753,78.54045605001839,43.566944444444445,-6.0441666666666665,0
1221D,1480,7.385751713018943,74.49905731050771,42.97861111111112,-5.776388888888889,0
1223P,370,13.52296397807361,78.00548159749412,43.132777777777775,-5.822777777777778,0
1226X,750,11.596956427505896,77.09213480213602,43.09527777777778,-5.476944444444444,0
1234P,170,14.726637726913971,77.9542225730071,43.275,-5.819166666666667,0
1249I,336,13.713829301688726,78.45778183477864,43.35333333333333,-5.874166666666667,0
1249X,334,13.913218615565114,77.68635119280407,43.35333333333333,-5.87388888888889,0
1272B,280,13.735314822057097,78.34649980445835,43.290277777777774,-6.386666666666667,0
1276F,670,12.119951377633713,78.29578606158833,43.1,-6.256944444444445,0
1279X,240,13.887977229972575,80.34655300222387,43.425,-6.230833333333334,0
1283U,60,14.469307123394318,74.57434799532892,43.56916666666667,-6.47,0
1297E,1020,11.374853896103897,68.79402910266666,42.76861111111111,-7.0175,0
1302F,1310,9.237639405204462,74.57509293680297,42.95527777777778,-6.4725,0
1309C,780,12.523841853035144,73.8951677316294,43.0275,-6.885,0
1327A,410,13.052272727272726,82.94964028776978,43.46555555555556,-6.673333333333334,0
1331A,40,14.598750411048998,74.90924038145347,43.52472222222222,-7.0313888888888885,0
1341B,340,12.990555555555556,86.55245098039215,43.41555555555556,-7.061111111111111,0
1342X,43,14.555458249187017,79.60949324803254,43.54055555555556,-7.083055555555555,0
1344X,125,13.859362549800798,80.72509960159363,43.43138888888889,-7.361666666666666,0
1347T,80,14.865461227099388,79.93344414411565,43.65111111111111,-7.357222222222222,0
1351,90,14.660223056283977,78.55818935336646,43.78611111111111,-7.685,0
1354C,4,15.153127829487936,77.59948242830477,43.47638888888889,-8.262222222222222,0
1363X,343,12.991392971340128,80.64569290985105,43.44583333333333,-7.861388888888888,0
1387,57,15.411529250769757,76.48443380088949,43.365833333333335,-8.421388888888888,0
1387D,132,15.034659232474016,78.86807363900772,43.36333333333334,-8.441944444444445,0
1387E,98,14.362353171495691,76.86589663273297,43.30694444444444,-8.371944444444445,0
