indicativo,altitud,tmed,latitud_dd,longitud_dd,cluster
4093Y,763,15.046640119462419,39.65611111111111,-2.76,4
4095Y,745,15.069324201490462,39.555277777777775,-2.705555555555556,4
4096Y,918,14.067853209385625,39.016666666666666,-2.488888888888889,4
4103X,662,15.765514935354437,39.16916666666666,-3.0075,4
4116I,626,15.693500424808835,38.950833333333335,-3.741944444444445,4
4121,626,16.489316057774,38.98916666666667,-3.9202777777777778,4
4138Y,900,15.216110860748087,38.7375,-3.0044444444444443,4
4147X,700,15.981920783645657,38.75055555555556,-3.391388888888889,4
4148,804,15.232984510675582,38.51805555555556,-3.5666666666666664,4
4193Y,587,16.236505652673824,39.21694444444445,-4.282777777777778,4
4195E,651,15.57093525179856,39.32083333333334,-4.3950000000000005,4
4210Y,718,16.029332574895715,38.89805555555556,-4.291944444444444,4
4220X,531,16.17940501131977,39.08361111111111,-4.621944444444445,4
4236Y,689,16.27119199029823,39.45055555555556,-5.026388888888889,4
4244X,447,17.43378532699219,39.16944444444445,-5.062222222222222,0
4245X,660,16.56228762365811,39.45527777777778,-5.333333333333333,3
4260,542,16.103597966366838,38.47972222222222,-5.5775,0
4263X,575,16.133255086071987,38.409444444444446,-5.350555555555555,0
4267X,551,16.655053720652607,38.498333333333335,-5.121388888888888,0
4300Y,535,18.168519968676588,38.775277777777774,-4.845277777777778,0
4325Y,459,18.1875,38.74194444444444,-5.529166666666667,0
4339X,590,16.623378264532434,39.314166666666665,-5.368888888888889,4
4340,313,17.782922052487272,39.10333333333333,-5.461388888888889,0
4347X,413,17.8066793088917,39.282777777777774,-5.710277777777778,0
4358X,274,18.35064705882353,38.95555555555556,-5.880555555555556,0
4362X,474,16.594296116504854,38.57638888888889,-5.845833333333333,0
4386B,655,17.091879942942192,38.23166666666667,-6.016944444444444,0
4395X,430,16.575107547907706,38.55166666666666,-6.306666666666667,0
4410X,228,17.803462441314554,38.91583333333333,-6.385555555555556,0
4411C,467,17.01875978090767,39.1975,-6.231111111111111,0
4427X,433,16.863189826583042,38.42583333333333,-6.4366666666666665,0
4436Y,371,17.49929605005866,38.68888888888888,-6.361111111111111,0
4452,186,18.08564724286273,38.88333333333333,-6.813888888888889,0
4464X,283,17.17386796445197,39.18194444444444,-6.995277777777778,0
4468X,392,16.63701095461659,39.17666666666666,-6.600833333333333,0
4478X,174,17.868322252639814,38.88611111111111,-7.009444444444444,0
4486X,275,17.541698630136985,38.6975,-7.084444444444444,0
4489X,170,17.548394160583943,38.484722222222224,-7.281944444444444,0
4492F,377,16.98115118577075,38.47277777777778,-6.923333333333334,0
4497X,247,17.60988909426987,38.37222222222222,-7.158055555555556,0
4499X,771,15.72939949627166,38.081388888888895,-6.271944444444444,4
4501X,602,16.621906507791017,38.20861111111111,-6.311388888888889,0
4511C,381,17.082520547945204,38.29861111111111,-6.765,0
4520X,586,15.093537787513691,38.17833333333333,-6.661666666666667,0
4527X,267,16.329104887424492,37.98027777777778,-6.975833333333333,0
4541X,60,18.8722333000997,37.55361111111111,-7.52,0
4549Y,3,18.886712148731384,37.19472222222222,-7.395,0
4554X,15,17.29711974424942,37.21833333333333,-7.083611111111111,0
4560Y,572,17.607119386637457,37.86861111111112,-6.675000000000001,0
